Sample, CPM, Conc
Tube1, 26.00, 10
Tube1_trap, 4277.50, 10
Tube1_head, 5973.00, 10
Tube2, 56.00, 10
Tube2_trap, 2035.00, 10
Tube2_head, 2094.50, 10
Tube3, 33.00, 0.5
Tube3_trap, 1265.00, 0.5
Tube3_head, 1243.50, 0.5
Tube4, 29.00, 0.5
Tube4_trap, 800.00, 0.5
Tube4_head, 1200.00, 0.5
Tube5, 35.00, 0
Tube5_trap, 484.50, 0
Tube5_head, 873.00, 0
Voucher, 115240, 10
Voucher, 6410.50, 0.5
Blank_KOH, 454.00, 0
Blank, 26.50, 0
