Tube,CPM,Sample,Organism
Tube6,71.00,Cells,Blank
Tube6,82.50,Cells,Blank
Tube6,17424.0,Sup,Blank
Tube6,17857.5,Sup,Blank
Tube6,8267.50,Trap,Blank
Tube6,8477.00,Trap,Blank
Tube7,52.00,Cells,KC
Tube7,56.50,Cells,KC
Tube7,16911.0,Sup,KC
Tube7,17103.5,Sup,KC
Tube7,304.00,Trap,KC
Tube7,234.00,Trap,KC
Tube8,36343.0,Cells,KBS0802
Tube8,37185.5,Cells,KBS0802
Tube8,7096.00,Sup,KBS0802
Tube8,7259.00,Sup,KBS0802
Tube8,63023.0,Trap,KBS0802
Tube8,64747.0,Trap,KBS0802
Tube9,38792.0,Cells,KBS0802
Tube9,38270.0,Cells,KBS0802
Tube9,6547.50,Sup,KBS0802
Tube9,6662.50,Sup,KBS0802
Tube9,60711.0,Trap,KBS0802
Tube9,60776.5,Trap,KBS0802
Tube10,37478.0,Cells,KBS0802_A-1
Tube10,36454.5,Cells,KBS0802_A-1
Tube10,6899.00,Sup,KBS0802_A-1
Tube10,6970.0,Sup,KBS0802_A-1
Tube10,59874.0,Trap,KBS0802_A-1
Tube10,61137.0,Trap,KBS0802_A-1
Tube11,40230.0,Cells,KBS0802_A-1
Tube11,40477.5,Cells,KBS0802_A-1
Tube11,6132.50,Sup,KBS0802_A-1
Tube11,6417.50,Sup,KBS0802_A-1
Tube11,70108.0,Trap,KBS0802_A-1
Tube11,71671.5,Trap,KBS0802_A-1
Tube12,38839.0,Cells,KBS0802_A-1
Tube12,36808.5,Cells,KBS0802_A-1
Tube12,6092.00,Sup,KBS0802_A-1
Tube12,6248.50,Sup,KBS0802_A-1
Tube12,67137.5,Trap,KBS0802_A-1
Tube12,70933.0,Trap,KBS0802_A-1
Tube13,36008.5,Cells,KBS0802_A-1
Tube13,37136.5,Cells,KBS0802_A-1
Tube13,5680.50,Sup,KBS0802_A-1
Tube13,5631.50,Sup,KBS0802_A-1
Tube13,66678.5,Trap,KBS0802_A-1
Tube13,65118.5,Trap,KBS0802_A-1
Tube14,38881.0,Cells,KBS0802_B-1
Tube14,38232.0,Cells,KBS0802_B-1
Tube14,6011.00,Sup,KBS0802_B-1
Tube14,6327.50,Sup,KBS0802_B-1
Tube14,64894.5,Trap,KBS0802_B-1
Tube14,64352.0,Trap,KBS0802_B-1
Tube15,40018.0,Cells,KBS0802_B-1
Tube15,37881.5,Cells,KBS0802_B-1
Tube15,6248.00,Sup,KBS0802_B-1
Tube15,6347.00,Sup,KBS0802_B-1
Tube15,65950.5,Trap,KBS0802_B-1
Tube15,67154.5,Trap,KBS0802_B-1
Tube16,40858.5,Cells,KBS0802_B-1
Tube16,38410.5,Cells,KBS0802_B-1
Tube16,6378.50,Sup,KBS0802_B-1
Tube16,6718.00,Sup,KBS0802_B-1
Tube16,64491.0,Trap,KBS0802_B-1
Tube16,64942.5,Trap,KBS0802_B-1
Tube17,40319.5,Cells,KBS0802_C-1
Tube17,39271.0,Cells,KBS0802_C-1
Tube17,6428.00,Sup,KBS0802_C-1
Tube17,6548.50,Sup,KBS0802_C-1
Tube17,65675.5,Trap,KBS0802_C-1
Tube17,65979.5,Trap,KBS0802_C-1
Tube18,36913.0,Cells,KBS0802_C-1
Tube18,40319.0,Cells,KBS0802_C-1
Tube18,5709.00,Sup,KBS0802_C-1
Tube18,5826.50,Sup,KBS0802_C-1
Tube18,59670.5,Trap,KBS0802_C-1
Tube18,60024.5,Trap,KBS0802_C-1
Tube19,41645.5,Cells,KBS0802_C-1
Tube19,40162.5,Cells,KBS0802_C-1
Tube19,5941.50,Sup,KBS0802_C-1
Tube19,6146.00,Sup,KBS0802_C-1
Tube19,63681.0,Trap,KBS0802_C-1
Tube19,64489.0,Trap,KBS0802_C-1
Voucher,1005616,,
Control,47.00,,
