Tube,CPM,Sample,Organism
Tube6,59.50,Cells,Blank
Tube6,41.50,Cells,Blank
Tube6,17061.0,Sup,Blank
Tube6,17063.5,Sup,Blank
Tube6,1749.50,Trap,Blank
Tube6,1422.50,Trap,Blank
Tube7,25.00,Cells,KC
Tube7,28.50,Cells,KC
Tube7,16306.5,Sup,KC
Tube7,16659.0,Sup,KC
Tube7,365.50,Trap,KC
Tube7,278.00,Trap,KC
Tube8,2580.00,Cells,KBS0707
Tube8,2661.00,Cells,KBS0707
Tube8,15143.5,Sup,KBS0707
Tube8,15340.5,Sup,KBS0707
Tube8,8739.50,Trap,KBS0707
Tube8,8801.50,Trap,KBS0707
Tube9,1477.00,Cells,KBS0707
Tube9,2006.00,Cells,KBS0707
Tube9,15380.5,Sup,KBS0707
Tube9,15670.0,Sup,KBS0707
Tube9,7518.50,Trap,KBS0707
Tube9,7532.50,Trap,KBS0707
Tube10,2990.00,Cells,KBS0707
Tube10,2272.50,Cells,KBS0707
Tube10,15413.0,Sup,KBS0707
Tube10,15466.5,Sup,KBS0707
Tube10,9013.00,Trap,KBS0707
Tube10,9348.50,Trap,KBS0707
Tube11,2451.00,Cells,KBS0707_A-1
Tube11,2809.50,Cells,KBS0707_A-1
Tube11,15015.0,Sup,KBS0707_A-1
Tube11,15392.5,Sup,KBS0707_A-1
Tube11,10092.5,Trap,KBS0707_A-1
Tube11,9930.50,Trap,KBS0707_A-1
Tube12,1217.50,Cells,KBS0707_A-1
Tube12,897.50,Cells,KBS0707_A-1
Tube12,15449.0,Sup,KBS0707_A-1
Tube12,15621.0,Sup,KBS0707_A-1
Tube12,8499.00,Trap,KBS0707_A-1
Tube12,8934.50,Trap,KBS0707_A-1
Tube13,2297.50,Cells,KBS0707_A-1
Tube13,1013.50,Cells,KBS0707_A-1
Tube13,15763.5,Sup,KBS0707_A-1
Tube13,15465.5,Sup,KBS0707_A-1
Tube13,8525.00,Trap,KBS0707_A-1
Tube13,8660.50,Trap,KBS0707_A-1
Tube14,3131.00,Cells,KBS0707_B-1
Tube14,2872.00,Cells,KBS0707_B-1
Tube14,14748.5,Sup,KBS0707_B-1
Tube14,15166.5,Sup,KBS0707_B-1
Tube14,9747.50,Trap,KBS0707_B-1
Tube14,10028.5,Trap,KBS0707_B-1
Tube15,1549.50,Cells,KBS0707_B-1
Tube15,1386.50,Cells,KBS0707_B-1
Tube15,15097.0,Sup,KBS0707_B-1
Tube15,16108.5,Sup,KBS0707_B-1
Tube15,8018.50,Trap,KBS0707_B-1
Tube15,8109.50,Trap,KBS0707_B-1
Tube16,3668.50,Cells,KBS0707_B-1
Tube16,2911.50,Cells,KBS0707_B-1
Tube16,14776.0,Sup,KBS0707_B-1
Tube16,15354.5,Sup,KBS0707_B-1
Tube16,9032.00,Trap,KBS0707_B-1
Tube16,9536.50,Trap,KBS0707_B-1
Tube17,3549.00,Cells,KBS0707_C-1
Tube17,2224.00,Cells,KBS0707_C-1
Tube17,15316.5,Sup,KBS0707_C-1
Tube17,15472.0,Sup,KBS0707_C-1
Tube17,8727.00,Trap,KBS0707_C-1
Tube17,8592.50,Trap,KBS0707_C-1
Tube18,3820.00,Cells,KBS0707_C-1
Tube18,2758.00,Cells,KBS0707_C-1
Tube18,15297.5,Sup,KBS0707_C-1
Tube18,15804.0,Sup,KBS0707_C-1
Tube18,9430.00,Trap,KBS0707_C-1
Tube18,8814.50,Trap,KBS0707_C-1
Tube19,2615.50,Cells,KBS0707_C-1
Tube19,2156.00,Cells,KBS0707_C-1
Tube19,15316.0,Sup,KBS0707_C-1
Tube19,15759.0,Sup,KBS0707_C-1
Tube19,7698.00,Trap,KBS0707_C-1
Tube19,8048.00,Trap,KBS0707_C-1
Voucher,1022886,,
Control,106.00,,
