Sample, Time, CPM
Background, 1, 22.00
Voucher, 1, 2182244
Tube1_in, 1, 24865.5
Tube1_in, 1, 40038.0
Tube1_in, 1, 88653.0
Tube1_out, 1, 28840.0
Tube1_out, 1, 33648.5
Tube1_out, 1, 29323.5
Tube2_in, 1, 83882.5
Tube2_out, 1, 26989.5
Tube3_in, 1, 69566.0
Tube3_out, 1, 27467.5
Tube4_in, 1, 27194.5
Tube4_out, 1, 30958.0
Tube5_in, 1, 169248
Tube5_out, 1, 29787.0
Background, 2, 21.50
Voucher, 2, 1891891
Tube1_in, 2, 13607.5
Tube1_in, 2, 30135.0
Tube1_in, 2, 78104.0
Tube1_out, 2, 23513.0
Tube1_out, 2, 27513.5
Tube1_out, 2, 24443.0
Tube2_in, 2, 76556.0
Tube2_out, 2, 22828.0
Tube3_in, 2, 63567.5
Tube3_out, 2, 22936.0
Tube4_in, 2, 23738.5
Tube4_out, 2, 26072.0
Tube5_in, 2, 159219
Tube5_out, 2, 24748.0
