Sample, CPM
Tube2T0, 30.50
Tube2T0, 35.50
Tube2T0, 26.00
Tube2Tf, 33.00
Tube2Tf, 34.50
Tube2Tf, 30.00
Tube3T0, 25.00
Tube3T0, 24.00
Tube3T0, 26.00
Tube3Tf, 31.50
Tube3Tf, 444.50
Tube3Tf, 31.00
