Sample, CPM
Background, 18.50
Voucher, 2238927
Voucher, 2327232
Tube1_in, 404308
Tube1_in, 425408
Tube1_in, 412666
Tube1_out, 58.00
Tube1_out, 64.00
Tube1_out, 70.00
Tube2_in, 486526
Tube2_out, 126.00
Tube3_in, 386066
Tube3_out, 136.00
Tube4_in, 471759
Tube4_out, 99
Tube5_in, 389737
Tube5_in, 392547
Tube5_in, 394670
Tube5_out, 103.50
Tube5_out, 156.00
Tube5_out, 92.50
