Sample, CPM, Conc
KBS0707, 5413.50, 10
KBS0707, 5483.50, 10
KBS0707, 6209.50, 10
KBS0707_KC, 137.00, 10
KBS0802, 10518.0, 10
KBS0802, 10237.0, 10
KBS0802, 10532.0, 10
KBS0802_KC, 40.00, 10
Voucher, 316874, 10
Blank, 58.50, 10
