Tube,CPM,Sample,Organism
Tube1,8308.00,Cells,KBS0707
Tube1,7857.50,Cells,KBS0707
Tube1,11170.0,Trap,KBS0707
Tube1,12399.0,Trap,KBS0707
Tube2,8276.00,Cells,KBS0707
Tube2,7888.50,Cells,KBS0707
Tube2,12334.5,Trap,KBS0707
Tube2,11919.0,Trap,KBS0707
Tube3,20491.5,Cells,KBS0802
Tube3,20363.0,Cells,KBS0802
Tube3,39215.0,Trap,KBS0802
Tube3,38270.5,Trap,KBS0802
Tube4,19427.5,Cells,KBS0802
Tube4,18622.0,Cells,KBS0802
Tube4,35879.0,Trap,KBS0802
Tube4,36572.0,Trap,KBS0802
Tube5,324.00,Cells,Blank
Tube5,357.00,Cells,Blank
Tube5,255.50,Trap,Blank
Tube5,362.50,Trap,Blank
Voucher,1009592,,
Control,231.50,,
