Sample, CPM
Water, 1820290
Water, 1786450
Water, 1728615
NaOH5N, 2122991
NaOH5N, 2038290
NaOH5N, 2099153
NaOH1N, 2404583
NaOH1N, 2359562
NaOH1N, 2321682
NaOH0.1N, 1964723
NaOH0.1N, 1826599
NaOH0.1N, 1902649
KOH5N, 2126867
KOH5N, 2099111
KOH5N, 2152864
KOH1N, 2277412
KOH1N, 2271136
KOH1N, 2292501
KOH0.1N, 1826141
KOH0.1N, 1848059
KOH0.1N, 1887006
