Plate,Well,ID
plate4,A2,7103Crep1
plate4,B2,7103Crep2
plate4,C2,7103Crep3
plate4,A3,7103Drep1
plate4,B3,7103Drep2
plate4,C3,7103Drep3
plate4,A4,7231Arep1
plate4,B4,7231Arep2
plate4,C4,7231Arep3
plate4,A5,7231Brep1
plate4,B5,7231Brep2
plate4,C5,7231Brep3
plate4,A6,7231Crep1
plate4,B6,7231Crep2
plate4,C6,7231Crep3
plate4,A7,7231Drep1
plate4,B7,7231Drep2
plate4,C7,7231Drep3
plate4,A8,7232Arep1
plate4,B8,7232Arep2
plate4,C8,7232Arep3
plate4,D1,7232Brep1
plate4,E1,7232Brep2
plate4,F1,7232Brep3
plate4,D2,7232Crep1
plate4,E2,7232Crep2
plate4,F2,7232Crep3
plate4,D3,7232Drep1
plate4,E3,7232Drep2
plate4,F3,7232Drep3
plate4,D4,7233Arep1
plate4,E4,7233Arep2
plate4,F4,7233Arep3
plate4,D5,7233Brep1
plate4,E5,7233Brep2
plate4,F5,7233Brep3
plate4,D6,7233Crep1
plate4,E6,7233Crep2
plate4,F6,7233Crep3
plate4,D7,7233Drep1
plate4,E7,7233Drep2
plate4,F7,7233Drep3
plate5,A1,7241Arep1
plate5,B1,7241Arep2
plate5,C1,7241Arep3
plate5,A2,7241Brep1
plate5,B2,7241Brep2
plate5,C2,7241Brep3
plate5,A3,7241Crep1
plate5,B3,7241Crep2
plate5,C3,7241Crep3
plate5,A4,7241Drep1
plate5,B4,7241Drep2
plate5,C4,7241Drep3
plate5,A5,7242Arep1
plate5,B5,7242Arep2
plate5,C5,7242Arep3
plate5,A6,7242Brep1
plate5,B6,7242Brep2
plate5,C6,7242Brep3
plate5,A7,7242Crep1
plate5,B7,7242Crep2
plate5,C7,7242Crep3
plate5,A8,7242Drep1
plate5,B8,7242Drep2
plate5,C8,7242Drep3
plate5,D1,7243Arep1
plate5,E1,7243Arep2
plate5,F1,7243Arep3
plate5,D2,7243Brep1
plate5,E2,7243Brep2
plate5,F2,7243Brep3
plate5,D3,7243Crep1
plate5,E3,7243Crep2
plate5,F3,7243Crep3
plate5,D4,7243Drep1
plate5,E4,7243Drep2
plate5,F4,7243Drep3
plate5,D5,701rep1
plate5,E5,701rep2
plate5,F5,701rep3
plate5,D6,702rep1
plate5,E6,702rep2
plate5,F6,702rep3
plate5,D7,703rep1
plate5,E7,703rep2
plate5,F7,703rep3
plate6,D5,7011bDrep1
plate6,E5,7011bDrep2
plate6,F5,7011bDrep3
plate6,D6,724rep1
plate6,E6,724rep2
plate6,F6,724rep3
plate6,D7,723rep1
plate6,E7,723rep2
plate6,F7,723rep3
plate6,D8,710rep1
plate6,E8,710rep2
plate6,F8,710rep3
