Plate,Well,ID
plate1,A1,7011Arep1
plate1,B1,7011Arep2
plate1,C1,7011Arep3
plate1,A2,7011Brep1
plate1,B2,7011Brep2
plate1,C2,7011Brep3
plate1,A3,7011Crep1
plate1,B3,7011Crep2
plate1,C3,7011Crep3
plate1,A4,7011Drep1
plate1,B4,7011Drep2
plate1,C4,7011Drep3
plate1,A5,7022Arep1
plate1,B5,7022Arep2
plate1,C5,7022Arep3
plate1,A6,7022Brep1
plate1,B6,7022Brep2
plate1,C6,7022Brep3
plate1,A7,7022Crep1
plate1,B7,7022Crep2
plate1,C7,7022Crep3
plate1,A8,7022Drep1
plate1,B8,7022Drep2
plate1,C8,7022Drep3
plate1,D1,7025Arep1
plate1,E1,7025Arep2
plate1,F1,7025Arep3
plate1,D2,7025Brep1
plate1,E2,7025Brep2
plate1,F2,7025Brep3
plate1,D3,7025Crep1
plate1,E3,7025Crep2
plate1,F3,7025Crep3
plate1,D4,7025Drep1
plate1,E4,7025Drep2
plate1,F4,7025Drep3
plate1,D5,7031Arep1
plate1,E5,7031Arep2
plate1,F5,7031Arep3
plate1,D6,7031Brep1
plate1,E6,7031Brep2
plate1,F6,7031Brep3
plate1,D7,7031Crep1
plate1,E7,7031Crep2
plate1,F7,7031Crep3
plate2,A3,7032Brep1
plate2,B3,7032Brep2
plate2,C3,7032Brep3
plate2,A4,7032Arep1
plate2,B4,7032Arep2
plate2,C4,7032Arep3
plate2,A5,7031Drep1
plate2,B5,7031Drep2
plate2,C5,7031Drep3
plate2,A6,7026Drep1
plate2,B6,7026Drep2
plate2,C6,7026Drep3
plate2,A7,7026Crep1
plate2,B7,7026Crep2
plate2,C7,7026Crep3
plate2,A8,7026Brep1
plate2,B8,7026Brep2
plate2,C8,7026Brep3
plate2,D1,7026Arep1
plate2,E1,7026Arep2
plate2,F1,7026Arep3
plate2,D2,7013Drep1
plate2,E2,7013Drep2
plate2,F2,7031Drep3
plate2,D3,7013Crep1
plate2,E3,7013Crep2
plate2,F3,7013Crep3
plate2,D4,7013Brep1
plate2,E4,7013Brep2
plate2,F4,7013Brep3
plate2,D5,7013Arep1
plate2,E5,7013Arep2
plate2,F5,7013Arep3
plate2,D6,7011bCrep1
plate2,E6,7011bCrep2
plate2,F6,7011bCrep3
plate2,D7,7011bBrep1
plate2,E7,7011bBrep2
plate2,F7,7011bBrep3
plate2,D8,7011bArep1
plate2,E8,7011bArep2
plate2,F8,7011bArep3
plate3,A1,7032Crep1
plate3,B1,7032Crep2
plate3,C1,7032Crep3
plate3,A2,7032Drep1
plate3,B2,7032Drep2
plate3,C2,7032Drep3
plate3,A3,7034Arep1
plate3,B3,7034Arep2
plate3,C3,7034Arep3
plate3,A4,7034Brep1
plate3,B4,7034Brep2
plate3,C4,7034Brep3
plate3,A5,7034Crep1
plate3,B5,7034Crep2
plate3,C5,7034Crep3
plate3,A6,7034Drep1
plate3,B6,7034Drep2
plate3,C6,7034Drep3
plate3,A7,7101Arep1
plate3,B7,7101Arep2
plate3,C7,7101Arep3
plate3,A8,7101Brep1
plate3,B8,7101Brep2
plate3,C8,7101Brep3
plate3,D1,7101Crep1
plate3,E1,7101Crep2
plate3,F1,7101Crep3
plate3,D2,7101Drep1
plate3,E2,7101Drep2
plate3,F2,7101Drep3
plate3,D3,7102Arep1
plate3,E3,7102Arep2
plate3,F3,7102Arep3
plate3,D4,7102Brep1
plate3,E4,7102Brep2
plate3,F4,7102Brep3
plate3,D5,7102Crep1
plate3,E5,7102Crep2
plate3,F5,7102Crep3
plate3,D6,7102Drep1
plate3,E6,7102Drep2
plate3,F6,7102Drep3
plate3,D7,7103Arep1
plate3,E7,7103Arep2
plate3,F7,7103Arep3
plate4,A1,7103Brep1
plate4,B1,7103Brep2
plate4,C1,7103Brep3
