Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
D5,0.0728,1.263,0.0552,3.2619,-5.6939,0.0532,0.0583,0.0529,0.0575
D6,0.069,2.1815,0.0739,11.3497,-6.8604,0.073,0.0833,0.0523,0.0956
D7,0.1218,0.7884,0.1162,3.3973,-4.8335,0.1132,0.1193,0.1131,0.1192
D8,0.857,-0.8272,0.1562,8.7494,-4.6159,0.1516,0.1611,0.1516,0.1609
E5,0.077,1.122,0.0531,3.1464,-5.9434,0.0519,0.0547,0.0518,0.0544
E6,0.07,0.7064,0.0362,7.7664,-6.8484,0.0331,0.0408,0.0325,0.0399
E7,0.1209,0.7967,0.1176,3.4589,-4.8096,0.1145,0.1209,0.1145,0.1207
E8,0.8461,-0.8233,0.15,9.0122,-4.5828,0.1455,0.1548,0.1455,0.1546
F5,0.0775,1.1884,0.0546,3.2324,-6.0086,0.0533,0.0563,0.0532,0.056
F6,0.0715,0.7661,0.0382,8.0945,-6.7044,0.0339,0.0427,0.033,0.0434
