Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.0817,0.9105,0.1319,2.7391,-5.4825,0.1301,0.1338,0.1301,0.1337
A2,0.0916,0.8487,0.1419,2.7651,-5.5711,0.1399,0.1439,0.1399,0.1438
A3,0.1034,0.8477,0.1553,2.709,-5.2323,0.1522,0.1585,0.1522,0.1583
A4,0.0907,0.8261,0.1849,2.3061,-4.7906,0.1793,0.1908,0.1794,0.1904
A5,0.0856,0.9036,0.1547,2.8018,-4.9635,0.151,0.1586,0.151,0.1583
A6,0.0815,0.8515,0.1598,2.8374,-5.1369,0.1563,0.1635,0.1563,0.1633
A7,0.0772,0.8555,0.174,3.3235,-4.9728,0.1695,0.1789,0.1695,0.1786
A8,0.07,0.5188,0.0776,2.5963,-5.7829,0.0762,0.0791,0.0763,0.079
B1,0.0854,0.9766,0.1623,2.9102,-5.1009,0.1592,0.1655,0.1592,0.1653
B2,0.0916,0.9427,0.1716,2.8952,-5.0387,0.1679,0.1755,0.1679,0.1752
B3,0.0995,0.913,0.1702,2.7429,-5.1975,0.167,0.1736,0.167,0.1735
B4,0.752,-0.7095,0.2151,7.0061,-4.717,0.2078,0.2229,0.2078,0.2225
B5,0.0901,0.8498,0.1771,2.9466,-4.9284,0.1723,0.1823,0.1723,0.182
B6,0.0799,0.8434,0.163,2.8021,-5.1051,0.1593,0.1669,0.1593,0.1667
B7,0.7109,-0.6596,0.2142,7.2403,-5.0332,0.2084,0.2202,0.2085,0.2199
B8,0.0774,0.5432,0.0716,2.2083,-5.1956,0.0694,0.074,0.0694,0.0738
C1,0.0874,0.9613,0.1584,2.8332,-5.1246,0.1554,0.1615,0.1554,0.1613
C2,0.092,0.9295,0.1686,2.8429,-5.1833,0.1654,0.1719,0.1654,0.1717
C3,0.1002,0.8971,0.1619,2.6268,-5.296,0.1591,0.1649,0.1591,0.1648
C4,0.0864,0.822,0.1969,2.7106,-4.8107,0.1908,0.2033,0.1909,0.203
C5,0.0932,0.8352,0.1746,2.8374,-5.0261,0.1703,0.1793,0.1703,0.179
C6,0.7601,-0.7182,0.1877,6.6882,-4.7969,0.1817,0.194,0.1818,0.1937
C7,0.76,-0.7071,0.21,7.042,-4.8066,0.2035,0.2168,0.2035,0.2165
C8,0.0728,0.6937,0.0812,2.3133,-4.9512,0.0787,0.0838,0.0788,0.0836
D1,0.0906,0.7369,0.082,2.9341,-5.7301,0.0806,0.0835,0.0806,0.0834
D2,0.0815,0.6805,0.0792,2.1932,-5.3816,0.0776,0.0809,0.0777,0.0808
D3,0.0863,0.8764,0.0877,3.2153,-6.3131,0.0865,0.0892,0.0864,0.089
D4,11.4072,-11.5336,0.6836,29.8806,-4.7237,0.6778,0.6895,0.5835,0.7838
D5,0.458,-0.3741,0.0853,7.3069,-4.1776,0.0757,0.0968,0.0752,0.0954
D6,0.572,-0.4953,0.0856,7.5351,-5.5549,0.0836,0.0877,0.0836,0.0876
D7,0.142,0.5407,0.0751,1.6891,-5.6504,0.0735,0.0768,0.0735,0.0767
E1,0.0955,0.736,0.0787,2.8651,-5.6447,0.0772,0.0805,0.0772,0.0803
E2,0.0727,0.6299,0.0827,2.7013,-5.6182,0.0813,0.0841,0.0813,0.0841
E3,0.512,-0.4496,0.0942,8.2924,-6.0353,0.0928,0.0956,0.0929,0.0956
E4,0.0712,0.9777,0.0826,1.947,-4.7712,0.0793,0.0899,0.0788,0.0863
E5,0.0864,0.5275,0.0597,2.5189,-5.8231,0.0586,0.0607,0.0587,0.0607
E6,0.0919,0.8174,0.0736,2.5044,-6.1376,0.0724,0.0749,0.0724,0.0747
E7,0.099,0.698,0.0692,2.4138,-6.0538,0.0683,0.0702,0.0683,0.0701
F1,0.0806,0.8782,0.0797,3.4944,-6.1352,0.0773,0.083,0.077,0.0824
F2,0.0783,0.7775,0.079,1.7774,-5.1114,0.077,0.081,0.0771,0.0809
F3,0.4728,-0.4046,0.0862,8.2521,-5.9951,0.0847,0.0876,0.0847,0.0876
F4,7.7534,-7.8498,0.4914,27.6682,-4.5855,NA,NA,0.381,0.6018
F5,0.0989,0.5372,0.0657,2.3338,-6.1345,0.0649,0.0665,0.0649,0.0665
F6,0.1007,0.5582,0.0655,2.2848,-5.6664,0.0643,0.0668,0.0643,0.0667
F7,0.1062,0.5634,0.0597,1.7197,-5.6977,0.0586,0.0609,0.0586,0.0608
