Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.7599,-0.6697,0.1168,8.9733,-6.7053,0.1159,0.1176,0.1159,0.1176
A2,0.1298,0.6955,0.1121,2.5758,-4.492,0.1067,0.1183,0.1065,0.1177
A3,0.8554,-0.7568,0.1421,8.6471,-6.8051,0.1414,0.1427,0.1415,0.1427
A4,0.8609,-0.7583,0.1416,8.7615,-6.853,0.141,0.1423,0.141,0.1423
A5,0.106,5.8077,0.247,9.5329,-6.8789,0.2156,0.2727,0.2436,0.2504
A6,0.0961,152.1205,3.6415,22.4165,-6.7344,NA,NA,3.5485,3.7346
A7,0.1269,0.9107,0.1952,2.0685,-5.4772,0.1925,0.198,0.1925,0.1979
A8,0.1211,0.9157,0.1887,2.2073,-5.1835,0.1852,0.1924,0.1852,0.1922
B1,0.7627,-0.6678,0.1209,8.8459,-6.6271,0.12,0.1217,0.12,0.1217
B2,0.1334,0.6983,0.1157,2.3252,-4.6746,0.1109,0.1209,0.1109,0.1205
B3,0.8614,-0.7638,0.1431,8.793,-6.8253,0.1423,0.1438,0.1424,0.1438
B4,0.8586,-0.7638,0.1415,8.7243,-6.7357,0.1408,0.1423,0.1408,0.1423
B5,0.1035,7.5085,0.2982,10.4914,-6.8393,0.2864,0.3119,0.2936,0.3028
B6,0.0964,103.9443,2.5893,20.9804,-6.6598,NA,NA,2.5214,2.6573
B7,0.1198,0.9197,0.1904,2.3636,-5.3568,0.1873,0.1935,0.1873,0.1934
B8,0.1222,0.9482,0.1953,2.2095,-5.3681,0.1923,0.1983,0.1924,0.1982
C1,0.7701,-0.6752,0.1224,8.7899,-6.9673,0.1218,0.123,0.1218,0.123
C2,0.686,-0.5921,0.1405,7.2698,-5.1275,0.1366,0.1446,0.1366,0.1444
C3,0.8673,-0.7665,0.1467,8.5542,-6.7148,0.146,0.1474,0.146,0.1474
C4,0.8606,-0.7621,0.1469,8.5945,-6.7844,0.1463,0.1476,0.1463,0.1476
C5,0.1049,3.4973,0.1763,7.9538,-6.8417,0.1368,0.1997,0.1249,0.2277
C6,0.0936,85.9838,2.2469,19.8034,-6.8882,NA,NA,2.2039,2.2899
C7,0.1271,0.9612,0.197,2.1184,-5.4093,0.1942,0.1999,0.1943,0.1998
C8,0.1247,0.9402,0.2025,2.1897,-5.2123,0.199,0.2062,0.199,0.2061
D1,0.1146,0.9431,0.1894,2.602,-5.2101,0.1859,0.193,0.186,0.1928
D2,0.7563,-0.6683,0.1878,7.5198,-5.5282,0.1847,0.1908,0.1848,0.1907
D3,0.1342,0.8672,0.1881,2.0593,-5.426,0.1852,0.191,0.1852,0.1909
D4,0.1179,0.9402,0.1944,2.2833,-5.3977,0.1915,0.1974,0.1916,0.1973
D5,0.1233,0.8609,0.1813,2.3047,-5.2097,0.1777,0.185,0.1777,0.1848
D6,0.1297,0.8173,0.1769,2.5662,-4.7348,0.1709,0.1833,0.1709,0.1829
D7,0.1227,0.9106,0.1567,2.8882,-4.9924,0.1531,0.1606,0.1531,0.1604
E1,0.1124,0.9729,0.1903,2.7937,-5.3185,0.1873,0.1935,0.1873,0.1934
E2,0.7314,-0.6408,0.1906,7.6735,-5.8176,0.1882,0.193,0.1882,0.1929
E3,0.1304,0.8829,0.1909,2.2952,-5.2856,0.1875,0.1943,0.1875,0.1942
E4,0.1165,0.9193,0.1846,2.5507,-5.1163,0.1808,0.1886,0.1809,0.1884
E5,0.1227,0.9247,0.186,2.3717,-5.1605,0.1824,0.1897,0.1825,0.1896
E6,0.1265,0.8079,0.1633,2.7058,-4.891,0.1585,0.1685,0.1585,0.1682
E7,0.1188,0.934,0.1465,3.0255,-5.3036,0.1441,0.1489,0.1441,0.1488
F1,0.1159,0.9301,0.1863,2.6112,-5.2954,0.1831,0.1896,0.1831,0.1894
F2,0.7515,-0.6652,0.1818,7.4452,-5.3039,0.1781,0.1856,0.1782,0.1854
F3,0.1191,0.8481,0.1812,2.6401,-5.0719,0.177,0.1856,0.177,0.1854
F4,0.1191,0.9227,0.1911,2.3775,-5.3151,0.1879,0.1944,0.188,0.1942
F5,0.115,0.8545,0.1726,2.7607,-5.0477,0.1684,0.1769,0.1684,0.1767
F6,0.1268,0.8106,0.1708,2.6112,-4.812,0.1653,0.1766,0.1653,0.1762
F7,0.7795,-0.6919,0.1722,7.3883,-5.2971,0.1688,0.1757,0.1689,0.1755
