Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A3,0.1175,0.6018,0.1155,2.75,-4.4073,0.1079,0.1243,0.1076,0.1234
A4,0.8224,-0.7368,0.1387,8.8036,-6.7368,0.1379,0.1395,0.1379,0.1395
A5,1.0067,-0.9288,0.1118,11.1531,-7.1151,0.1095,0.1143,0.1095,0.1142
A6,0.1554,0.8049,0.2042,1.2556,-4.7324,0.1981,0.2106,0.1982,0.2102
A7,0.1126,0.9192,0.1951,2.0521,-5.2422,0.1917,0.1986,0.1917,0.1985
A8,0.1199,0.9129,0.1963,2.0602,-5.0928,0.1923,0.2004,0.1923,0.2002
B3,0.1133,0.6386,0.0947,2.3726,-5.246,0.0923,0.0973,0.0923,0.0972
B4,0.8532,-0.7669,0.143,8.8147,-6.8722,0.1424,0.1438,0.1424,0.1437
B5,0.1045,5.6307,0.198,6.3094,-6.8623,0.1728,0.2015,0.1682,0.2278
B6,0.1476,0.8725,0.2196,1.2887,-4.8424,0.2141,0.2253,0.2142,0.225
B7,0.1149,0.9205,0.1937,1.9574,-5.402,0.1908,0.1967,0.1909,0.1965
B8,0.1149,0.9068,0.1987,2.1158,-5.0421,0.1944,0.2031,0.1945,0.2029
C3,0.6972,-0.6245,0.1408,7.0774,-4.0905,0.1307,0.152,0.1305,0.1511
C4,0.8531,-0.7636,0.1476,8.8145,-6.7419,0.1468,0.1485,0.1468,0.1485
C5,1.0592,-0.9768,0.119,11.23,-7.0642,0.1162,0.1219,0.1162,0.1217
C6,0.1486,0.8452,0.2045,1.457,-4.9499,0.1997,0.2095,0.1998,0.2093
C7,0.1181,0.9164,0.1965,1.8246,-5.5178,0.1939,0.1991,0.194,0.199
C8,0.1184,0.9192,0.1996,1.9284,-5.2843,0.1963,0.203,0.1964,0.2029
D1,0.1195,0.9186,0.1983,1.9698,-5.2804,0.195,0.2018,0.1951,0.2016
D2,0.6158,-0.4959,0.0735,8.7363,-6.9743,0.0731,0.0739,0.0731,0.0739
D3,0.1327,1.4943,0.0885,4.2824,-6.653,0.0839,0.0917,0.0813,0.0956
D4,0.6412,-0.5294,0.0778,8.9402,-7.0135,0.0774,0.0783,0.0774,0.0783
D5,0.6199,-0.5165,0.0749,9.146,-7.5259,0.0747,0.0752,0.0747,0.0752
D6,0.0858,37.3237,0.6654,21.4577,-7.281,NA,NA,0.6546,0.6762
D7,0.0871,83.8972,1.3685,27.6208,-7.4174,NA,NA,1.3411,1.3959
D8,0.1018,1.0992,0.0546,3.7119,-7.107,0.0525,0.0569,0.0497,0.0595
E1,0.1188,0.947,0.2027,2.0134,-5.2606,0.1993,0.2062,0.1994,0.206
E2,0.617,-0.4877,0.0742,8.9319,-6.9155,0.0737,0.0747,0.0737,0.0747
E3,0.5852,-0.4767,0.0735,9.9621,-6.8788,0.0717,0.0755,0.0716,0.0753
E4,0.6347,-0.5228,0.0732,9.3318,-6.751,0.0725,0.0739,0.0725,0.0738
E5,0.5703,-0.4481,0.0695,8.6825,-6.8143,0.069,0.07,0.069,0.07
E6,0.0896,15.8093,0.3306,16.8082,-7.6362,NA,NA,0.3262,0.3349
E7,0.3938,-0.3087,0.0395,12.8148,-7.9237,0.0381,0.0411,0.0387,0.0403
E8,0.0944,2.2022,0.0821,6.2569,-7.3909,0.0694,0.083,0.0661,0.0981
F1,0.1235,0.563,0.1494,1.7681,-4.5446,0.1415,0.158,0.1415,0.1574
F2,0.7076,-0.5877,0.0772,9.933,-6.5393,0.0759,0.0788,0.0758,0.0785
F3,0.541,-0.4341,0.0662,9.3473,-6.9648,0.0655,0.0669,0.0655,0.0668
F4,0.6159,-0.51,0.0721,8.8123,-7.1565,0.0718,0.0724,0.0718,0.0724
F5,0.5904,-0.482,0.0714,8.9292,-7.3874,0.0711,0.0717,0.0711,0.0717
F6,0.0892,10.2147,0.2395,13.8669,-7.4712,0.2281,NA,0.2361,0.2428
F7,0.0868,77.9793,1.2533,27.6433,-7.5574,NA,NA,1.2309,1.2756
F8,0.1005,1.3433,0.0598,3.1866,-7.1638,0.0595,0.0661,0.055,0.0646
