Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.8943,-0.8719,0.1955,6.2041,-4.9887,0.1911,0.2,0.1912,0.1999
A2,0.1085,0.8558,0.1243,2.9648,-3.7728,0.1158,0.1339,0.1154,0.1331
A3,0.8245,-0.7869,0.1332,7.9774,-5.699,0.1317,0.1347,0.1317,0.1346
A4,0.5372,-0.5047,0.0515,13.1073,-5.9484,0.0509,0.0521,0.0509,0.0521
A5,0.7867,-0.8351,0.0911,10.8089,-4.3188,0.0875,0.0948,0.0875,0.0947
A6,-0.9383,16.0998,0.0635,2.0689,-3.5946,NA,NA,0.0604,0.0666
A7,0.0519,1.0145,0.0911,2.3114,-4.224,0.0877,0.0946,0.0877,0.0945
A8,0.8406,-0.7723,0.1091,10.3485,-4.2354,0.1042,0.1142,0.1042,0.114
B1,0.8724,-0.8449,0.1769,7.6683,-4.7143,0.172,0.182,0.172,0.1818
B2,0.8519,-0.8303,0.1377,8.2878,-5.599,0.1362,0.1393,0.1362,0.1393
B3,0.8424,-0.8088,0.1489,7.3143,-5.6495,0.1471,0.1506,0.1472,0.1506
B4,0.0721,0.5191,0.0403,3.1633,-5.6731,0.0397,0.041,0.0397,0.041
B5,0.7823,-0.8074,0.0929,10.9639,-4.4724,0.0897,0.0962,0.0897,0.0961
B6,0.7523,-0.6281,0.1123,11.8754,-2.6549,0.0814,0.1686,0.0726,0.152
B7,0.0553,0.9018,0.0866,2.6996,-4.3946,0.0837,0.0897,0.0836,0.0895
B8,0.8458,-0.7892,0.1053,10.4109,-4.2545,0.1007,0.11,0.1007,0.1099
C1,0.1234,0.8269,0.1992,1.9126,-4.6184,0.1933,0.2054,0.1933,0.2051
C2,0.8659,-0.8678,0.1359,7.519,-5.1188,0.1334,0.1384,0.1334,0.1383
C3,0.8527,-0.8247,0.1423,7.7471,-5.411,0.1403,0.1444,0.1403,0.1443
C4,0.5383,-0.5071,0.0503,12.8193,-5.7937,0.0496,0.051,0.0496,0.051
C5,0.7844,-0.8112,0.0976,10.6018,-4.4219,0.0942,0.1012,0.0942,0.1011
C6,4.1123,-4.529,0.0944,56.2624,-3.4718,NA,NA,0.0917,0.097
C7,0.059,0.9427,0.0978,3.0494,-4.5213,0.0951,0.1007,0.095,0.1006
C8,0.0891,1.1212,0.0943,3.077,-3.8997,0.0902,0.0989,0.09,0.0986
D1,0.1164,0.8517,0.2034,1.6195,-5.2762,0.2005,0.2064,0.2006,0.2063
D2,0.1229,0.8097,0.2042,1.6207,-4.9547,0.2,0.2085,0.2,0.2083
D3,0.1271,0.7748,0.1798,1.413,-4.8993,0.1759,0.1837,0.176,0.1836
D4,0.1178,0.8383,0.2085,1.6739,-5.0192,0.2046,0.2125,0.2046,0.2123
D5,0.1238,0.8222,0.2049,1.9122,-4.8052,0.2002,0.2097,0.2002,0.2096
D6,0.1247,0.8662,0.1057,3.5534,-4.2068,0.1015,0.1102,0.1015,0.11
D7,0.9005,-0.8459,0.1082,10.6137,-4.7973,0.1057,0.1108,0.1057,0.1107
E1,0.1285,0.7758,0.1938,1.501,-4.9404,0.1894,0.1983,0.1895,0.1981
E2,0.122,0.8366,0.2063,1.6938,-5.0395,0.2025,0.2102,0.2026,0.2101
E3,0.1175,0.4694,0.1355,1.1144,-4.7919,0.1292,0.1422,0.1292,0.1418
E4,0.0753,0.791,0.1948,3.4162,-4.4584,0.1881,0.2019,0.1881,0.2016
E5,0.1243,0.8395,0.2053,1.9573,-4.774,0.2004,0.2104,0.2004,0.2102
E6,0.119,0.8821,0.1052,3.7355,-4.1821,0.1009,0.1097,0.1009,0.1095
E7,0.8868,-0.8452,0.1107,10.6877,-4.8311,0.1082,0.1132,0.1082,0.1131
F1,0.1204,0.8373,0.1977,1.6628,-5.0628,0.1942,0.2013,0.1942,0.2012
F2,0.1201,0.8436,0.2053,1.6578,-4.9192,0.2011,0.2096,0.2012,0.2095
F3,0.8893,-1.003,0.1544,6.0881,-4.7927,0.1509,0.1581,0.1508,0.1579
F4,0.1141,0.8482,0.2042,1.7098,-5.0818,0.2007,0.2078,0.2007,0.2077
F5,0.1193,0.8297,0.1986,1.9321,-4.8417,0.1943,0.2031,0.1943,0.2029
F6,0.8934,-0.8505,0.1112,10.9162,-5.0546,0.1093,0.1131,0.1093,0.1131
F7,0.8768,-0.8299,0.1074,10.5227,-4.7908,0.1048,0.11,0.1048,0.1099
