Organism	Day	Dilution	Colonies
KBS0724A1	1	1.00E-04	85
KBS0724A2	1	1.00E-04	114
KBS0724A3	1	1.00E-04	96
KBS0724A1	2	1.00E-04	83
KBS0724A2	2	1.00E-04	92
KBS0724A3	2	1.00E-04	98
KBS0724A1	3	1.00E-04	61
KBS0724A2	3	1.00E-04	56
KBS0724A3	3	1.00E-04	90
KBS0724A1	4	1.00E-04	64
KBS0724A2	4	1.00E-04	NA
KBS0724A3	4	1.00E-04	85
KBS0724A1	5	1.00E-04	50
KBS0724A2	5	1.00E-04	77
KBS0724A3	5	1.00E-04	99
KBS0724A1	6	1.00E-04	27
KBS0724A2	6	1.00E-04	73
KBS0724A3	6	1.00E-04	62
KBS0724A1	7	1.00E-04	52
KBS0724A2	7	1.00E-04	61
KBS0724A3	7	1.00E-04	78
KBS0724A1	8	1.00E-04	33
KBS0724A2	8	1.00E-04	66
KBS0724A3	8	1.00E-04	82
KBS0724A1	9	1.00E-04	12
KBS0724A2	9	1.00E-04	26
KBS0724A3	9	1.00E-04	29
KBS0724A1	10	1.00E-04	19
KBS0724A2	10	1.00E-04	6
KBS0724A3	10	1.00E-04	29
KBS0724A1	12	1.00E-03	111
KBS0724A2	12	1.00E-03	NA
KBS0724A3	12	1.00E-03	216
KBS0724A1	14	1.00E-03	85
KBS0724A2	14	1.00E-03	63
KBS0724A3	14	1.00E-03	300
KBS0724A1	15	1.00E-03	53
KBS0724A2	15	1.00E-03	58
KBS0724A3	15	1.00E-03	174
KBS0724D1	1	1.00E-04	90
KBS0724D2	1	1.00E-04	97
KBS0724D3	1	1.00E-04	69
KBS0724D1	2	1.00E-04	126
KBS0724D2	2	1.00E-04	162
KBS0724D3	2	1.00E-04	144
KBS0724D1	3	1.00E-04	99
KBS0724D2	3	1.00E-04	144
KBS0724D3	3	1.00E-04	136
KBS0724D1	4	1.00E-04	106
KBS0724D2	4	1.00E-04	99
KBS0724D3	4	1.00E-04	53
KBS0724D1	5	1.00E-04	63
KBS0724D2	5	1.00E-04	114
KBS0724D3	5	1.00E-04	76
KBS0724D1	6	1.00E-04	46
KBS0724D2	6	1.00E-04	74
KBS0724D3	6	1.00E-04	89
KBS0724D1	7	1.00E-04	81
KBS0724D2	7	1.00E-04	136
KBS0724D3	7	1.00E-04	84
KBS0724D1	8	1.00E-04	61
KBS0724D2	8	1.00E-04	126
KBS0724D3	8	1.00E-04	87
KBS0724D1	9	1.00E-04	67
KBS0724D2	9	1.00E-04	51
KBS0724D3	9	1.00E-04	80
KBS0724D1	10	1.00E-04	76
KBS0724D2	10	1.00E-04	87
KBS0724D3	10	1.00E-04	71
KBS0724D1	11	1.00E-04	54
KBS0724D2	11	1.00E-04
KBS0724D3	11	1.00E-04	72
KBS0724D1	12	1.00E-04	39
KBS0724D2	12	1.00E-04	64
KBS0724D3	12	1.00E-04	67
KBS0724D1	14	1.00E-03	162
KBS0724D2	14	1.00E-03	208
KBS0724D3	14	1.00E-03	140
KBS0724D1	15	1.00E-03	125
KBS0724D2	15	1.00E-03	73
KBS0724D3	15	1.00E-03	
