Day	Organism (KBS0707)	Dilution	# Colonies	CFU
1	Anc	1.00E-05	132	132000000
1	A-1	1.00E-06	19	190000000
1	B-1	1.00E-05	84	84000000
1	C-1	1.00E-06	28	280000000
3	Anc	1.00E-05	29	29000000
3	A-1	1.00E-05	10	10000000
3	B-1	1.00E-04	153	15300000
3	C-1	1.00E-05	6	6000000
5	Anc	1.00E-04	126	12600000
5	A-1	1.00E-04	187	18700000
5	B-1	1.00E-04	124	12400000
5	C-1	1.00E-04	135	13500000
8	Anc	1.00E-04	78	7800000
8	A-1	1.00E-04	137	13700000
8	B-1	1.00E-04	84	8400000
8	C-1	1.00E-04	162	16200000
10	Anc	1.00E-04	71	7100000
10	A-1	1.00E-04	144	14400000
10	B-1	1.00E-04	63	6300000
10	C-1	1.00E-04	179	17900000
12	Anc	1.00E-04	52	5200000
12	A-1	1.00E-04	117	11700000
12	B-1	1.00E-04	45	4500000
12	C-1	1.00E-04	211	21100000
14	Anc	1.00E-04	55	5500000
14	A-1	1.00E-04	118	11800000
14	B-1	1.00E-04	81	8100000
14	C-1	1.00E-04	223	22300000
