Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.5874,-0.5475,0.1133,17.6704,-5.4888,0.1117,0.1151,0.1117,0.115
A2,0.4938,-0.4581,0.1077,17.8325,-5.8738,0.1063,0.1091,0.1063,0.1091
A3,0.0386,0.9053,0.1023,11.0412,-5.324,0.101,0.1036,0.1009,0.1036
A4,0.0364,1.4895,0.1237,13.7251,-5.4438,0.1174,0.1322,0.1165,0.1308
A5,0.0392,0.9971,0.0969,11.6649,-5.2693,0.0956,0.0983,0.0956,0.0983
A6,0.5794,-0.5432,0.1174,17.9872,-5.9458,0.1162,0.1186,0.1162,0.1186
A7,0.0401,0.8749,0.1051,11.2635,-5.2427,0.1036,0.1068,0.1036,0.1067
A8,0.0366,1.5291,0.1341,13.8021,-5.632,0.129,0.1406,0.1285,0.1397
B1,0.6709,-0.6378,0.1381,16.7192,-4.7709,0.1345,0.1418,0.1345,0.1416
B2,0.672,-0.6363,0.1514,16.7078,-4.8856,0.1478,0.1552,0.1478,0.1551
B3,0.6633,-0.6298,0.1464,15.0872,-5.1155,0.1435,0.1493,0.1435,0.1492
B4,0.6427,-0.6073,0.1685,15.7354,-5.5756,0.1662,0.1709,0.1662,0.1708
B5,0.6304,-0.5963,0.1461,14.5447,-5.514,0.144,0.1482,0.144,0.1481
B6,0.6154,-0.5783,0.1447,15.1743,-5.9239,0.1432,0.1461,0.1433,0.1461
B7,0.6329,-0.5974,0.1485,14.6703,-5.2584,0.1458,0.1513,0.1458,0.1512
B8,0.6168,-0.5816,0.1601,15.533,-5.6403,0.1579,0.1623,0.1579,0.1622
C1,0.0386,0.0756,0.0221,8.0499,-5.9398,0.0194,0.0253,0.0192,0.025
C2,0.1046,-0.0684,0.0231,12.1487,-6.8708,0.0222,0.024,0.0222,0.024
C3,0.0368,0.0865,0.0237,7.7269,-6.1944,0.0216,0.0261,0.0215,0.0258
C4,0.1061,-0.068,0.0253,11.5709,-7.2088,0.0246,0.026,0.0246,0.026
C5,0.0367,0.0761,0.0211,7.1111,-6.1632,0.0191,0.0234,0.019,0.0232
C6,0.1015,-0.0662,0.0205,11.0959,-7.433,NA,NA,0.0201,0.021
C7,0.0374,0.0882,0.0208,7.4855,-6.1611,0.019,0.0229,0.0189,0.0227
C8,0.1053,-0.0701,0.0273,11.4649,-7.0439,0.0264,0.0283,0.0264,0.0282
