Tube,CPM,Sample,Organism
Tube06,273.50,Cells,Blank
Tube06,94.00,Cells,Blank
Tube06,17809.0,Sup,Blank
Tube06,18113.0,Sup,Blank
Tube06,358.00,Trap,Blank
Tube06,254.50,Trap,Blank
Tube07,47.50,Cells,KC
Tube07,22.00,Cells,KC
Tube07,17152.0,Sup,KC
Tube07,17243.0,Sup,KC
Tube07,440.00,Trap,KC
Tube07,308.00,Trap,KC
Tube08,29862.5,Cells,KBS0802
Tube08,27260.5,Cells,KBS0802
Tube08,8458.00,Sup,KBS0802
Tube08,8633.50,Sup,KBS0802
Tube08,58433.5,Trap,KBS0802
Tube08,59766.0,Trap,KBS0802
Tube09,26782.5,Cells,KBS0802
Tube09,28707.5,Cells,KBS0802
Tube09,8786.50,Sup,KBS0802
Tube09,9136.50,Sup,KBS0802
Tube09,59955.5,Trap,KBS0802
Tube09,58115.0,Trap,KBS0802
Tube10,31490.5,Cells,KBS0802
Tube10,30939.0,Cells,KBS0802
Tube10,8489.00,Sup,KBS0802
Tube10,8725.00,Sup,KBS0802
Tube10,67604.5,Trap,KBS0802
Tube10,68245.5,Trap,KBS0802
Tube11,28056.0,Cells,KBS0802_A-1
Tube11,27350.5,Cells,KBS0802_A-1
Tube11,8100.00,Sup,KBS0802_A-1
Tube11,8275.50,Sup,KBS0802_A-1
Tube11,63669.0,Trap,KBS0802_A-1
Tube11,64881.5,Trap,KBS0802_A-1
Tube12,23450.0,Cells,KBS0802_A-1
Tube12,26836.0,Cells,KBS0802_A-1
Tube12,8403.00,Sup,KBS0802_A-1
Tube12,8544.50,Sup,KBS0802_A-1
Tube12,43548.0,Trap,KBS0802_A-1
Tube12,43727.5,Trap,KBS0802_A-1
Tube13,25551.5,Cells,KBS0802_A-1
Tube13,25261.0,Cells,KBS0802_A-1
Tube13,8577.00,Sup,KBS0802_A-1
Tube13,8710.00,Sup,KBS0802_A-1
Tube13,56006.0,Trap,KBS0802_A-1
Tube13,57899.0,Trap,KBS0802_A-1
Tube14,35223.0,Cells,KBS0802_B-1
Tube14,34965.0,Cells,KBS0802_B-1
Tube14,7720.50,Sup,KBS0802_B-1
Tube14,7485.00,Sup,KBS0802_B-1
Tube14,57786.5,Trap,KBS0802_B-1
Tube14,56894.5,Trap,KBS0802_B-1
Tube15,38622.0,Cells,KBS0802_B-1
Tube15,38157.5,Cells,KBS0802_B-1
Tube15,6535.00,Sup,KBS0802_B-1
Tube15,6740.00,Sup,KBS0802_B-1
Tube15,77864.0,Trap,KBS0802_B-1
Tube15,74512.5,Trap,KBS0802_B-1
Tube16,36635.5,Cells,KBS0802_B-1
Tube16,35523.5,Cells,KBS0802_B-1
Tube16,6891.50,Sup,KBS0802_B-1
Tube16,7105.50,Sup,KBS0802_B-1
Tube16,71227.5,Trap,KBS0802_B-1
Tube16,71578.0,Trap,KBS0802_B-1
Tube17,32848.5,Cells,KBS0802_C-1
Tube17,31273.0,Cells,KBS0802_C-1
Tube17,6567.00,Sup,KBS0802_C-1
Tube17,6776.00,Sup,KBS0802_C-1
Tube17,60852.5,Trap,KBS0802_C-1
Tube17,62545.0,Trap,KBS0802_C-1
Tube18,41383.5,Cells,KBS0802_C-1
Tube18,32624.5,Cells,KBS0802_C-1
Tube18,6997.50,Sup,KBS0802_C-1
Tube18,7181.50,Sup,KBS0802_C-1
Tube18,75098.0,Trap,KBS0802_C-1
Tube18,77544.5,Trap,KBS0802_C-1
Tube19,33190.0,Cells,KBS0802_C-1
Tube19,34834.5,Cells,KBS0802_C-1
Tube19,7649.00,Sup,KBS0802_C-1
Tube19,7912.50,Sup,KBS0802_C-1
Tube19,55839.5,Trap,KBS0802_C-1
Tube19,58236.5,Trap,KBS0802_C-1
Voucher,1011019,,
Control,30.00,,
