Tube,CPM,Sample,Organism,Conc
Tube06,989.00,Cells,Blank,10
Tube06,50.00,Cells,Blank,10
Tube06,10686.5,Sup,Blank,10
Tube06,10651.0,Sup,Blank,10
Tube06,1376.00,Trap,Blank,10
Tube06,2286.50,Trap,Blank,10
Tube07,20.50,Cells,KC,10
Tube07,28.00,Cells,KC,10
Tube07,10572.0,Sup,KC,10
Tube07,10774.0,Sup,KC,10
Tube07,3648.00,Trap,KC,10
Tube07,2913.50,Trap,KC,10
Tube08,1145.50,Cells,KBS0707_B1,10
Tube08,571.50,Cells,KBS0707_B1,10
Tube08,10183.5,Sup,KBS0707_B1,10
Tube08,10035.0,Sup,KBS0707_B1,10
Tube08,7067.50,Trap,KBS0707_B1,10
Tube08,6899.00,Trap,KBS0707_B1,10
Tube09,1279.00,Cells,KBS0707_B1,10
Tube09,954.50,Cells,KBS0707_B1,10
Tube09,10043.5,Sup,KBS0707_B1,10
Tube09,10075.5,Sup,KBS0707_B1,10
Tube09,6157.00,Trap,KBS0707_B1,10
Tube09,6173.50,Trap,KBS0707_B1,10
Tube10,1972.00,Cells,KBS0707_B1,5
Tube10,781.00,Cells,KBS0707_B1,5
Tube10,9571.50,Sup,KBS0707_B1,5
Tube10,9522.00,Sup,KBS0707_B1,5
Tube10,10846.5,Trap,KBS0707_B1,5
Tube10,10804.0,Trap,KBS0707_B1,5
Tube11,2285.50,Cells,KBS0707_B1,5
Tube11,2216.00,Cells,KBS0707_B1,5
Tube11,9487.50,Sup,KBS0707_B1,5
Tube11,9570.50,Sup,KBS0707_B1,5
Tube11,11497.5,Trap,KBS0707_B1,5
Tube11,11251.0,Trap,KBS0707_B1,5
Tube12,5322.50,Cells,KBS0707_B1,2.5
Tube12,4245.00,Cells,KBS0707_B1,2.5
Tube12,8151.00,Sup,KBS0707_B1,2.5
Tube12,8015.00,Sup,KBS0707_B1,2.5
Tube12,206.0,Trap,KBS0707_B1,2.5
Tube12,20328.0,Trap,KBS0707_B1,2.5
Tube13,4799.50,Cells,KBS0707_B1,2.5
Tube13,4253.50,Cells,KBS0707_B1,2.5
Tube13,8538.00,Sup,KBS0707_B1,2.5
Tube13,8494.00,Sup,KBS0707_B1,2.5
Tube13,19888.5,Trap,KBS0707_B1,2.5
Tube13,18905.0,Trap,KBS0707_B1,2.5
Tube14,9094.00,Cells,KBS0707_B1,1
Tube14,9012.50,Cells,KBS0707_B1,1
Tube14,5391.50,Sup,KBS0707_B1,1
Tube14,5269.00,Sup,KBS0707_B1,1
Tube14,43034.5,Trap,KBS0707_B1,1
Tube14,46356.5,Trap,KBS0707_B1,1
Tube15,12458.5,Cells,KBS0707_B1,1
Tube15,8362.50,Cells,KBS0707_B1,1
Tube15,5285.00,Sup,KBS0707_B1,1
Tube15,5031.50,Sup,KBS0707_B1,1
Tube15,46641.5,Trap,KBS0707_B1,1
Tube15,46503.5,Trap,KBS0707_B1,1
Tube16,19759.5,Cells,KBS0707_B1,0.5
Tube16,15975.5,Cells,KBS0707_B1,0.5
Tube16,1240.50,Sup,KBS0707_B1,0.5
Tube16,1191.50,Sup,KBS0707_B1,0.5
Tube16,76395.0,Trap,KBS0707_B1,0.5
Tube16,76112.5,Trap,KBS0707_B1,0.5
Tube17,14157.5,Cells,KBS0707_B1,0.5
Tube17,14581.5,Cells,KBS0707_B1,0.5
Tube17,1245.50,Sup,KBS0707_B1,0.5
Tube17,1198.50,Sup,KBS0707_B1,0.5
Tube17,76443.0,Trap,KBS0707_B1,0.5
Tube17,75921.0,Trap,KBS0707_B1,0.5
Tube18,18710.5,Cells,KBS0707_B1,0.25
Tube18,8314.50,Cells,KBS0707_B1,0.25
Tube18,1035.00,Sup,KBS0707_B1,0.25
Tube18,1242.00,Sup,KBS0707_B1,0.25
Tube18,80376.0,Trap,KBS0707_B1,0.25
Tube18,79165.0,Trap,KBS0707_B1,0.25
Tube19,18410.5,Cells,KBS0707_B1,0.25
Tube19,14671.5,Cells,KBS0707_B1,0.25
Tube19,1216.50,Sup,KBS0707_B1,0.25
Tube19,1059.00,Sup,KBS0707_B1,0.25
Tube19,83438.0,Trap,KBS0707_B1,0.25
Tube19,83912.0,Trap,KBS0707_B1,0.25
Voucher,732019,,,
Control,29.00,,,
