Tube,CPM,Sample,Organism,Conc
Tube06,25.00,Cells,Blank,10
Tube06,18.50,Cells,Blank,10
Tube06,10974.5,Sup,Blank,10
Tube06,10905.0,Sup,Blank,10
Tube06,1266.50,Trap,Blank,10
Tube06,1300.00,Trap,Blank,10
Tube07,29.00,Cells,KC,10
Tube07,23.00,Cells,KC,10
Tube07,11275.0,Sup,KC,10
Tube07,11240.5,Sup,KC,10
Tube07,1494.50,Trap,KC,10
Tube07,2003.50,Trap,KC,10
Tube08,1450.50,Cells,KBS0707_B1,10
Tube08,1274.00,Cells,KBS0707_B1,10
Tube08,10403.0,Sup,KBS0707_B1,10
Tube08,10438.0,Sup,KBS0707_B1,10
Tube08,7970.50,Trap,KBS0707_B1,10
Tube08,7876.00,Trap,KBS0707_B1,10
Tube09,1512.00,Cells,KBS0707_B1,10
Tube09,939.50,Cells,KBS0707_B1,10
Tube09,10381.5,Sup,KBS0707_B1,10
Tube09,10527.0,Sup,KBS0707_B1,10
Tube09,8157.00,Trap,KBS0707_B1,10
Tube09,8243.50,Trap,KBS0707_B1,10
Tube10,4043.00,Cells,KBS0707_B1,5
Tube10,2642.00,Cells,KBS0707_B1,5
Tube10,9443.50,Sup,KBS0707_B1,5
Tube10,9647.50,Sup,KBS0707_B1,5
Tube10,13940.5,Trap,KBS0707_B1,5
Tube10,13805.5,Trap,KBS0707_B1,5
Tube11,2044.00,Cells,KBS0707_B1,5
Tube11,1715.00,Cells,KBS0707_B1,5
Tube11,9659.00,Sup,KBS0707_B1,5
Tube11,9796.50,Sup,KBS0707_B1,5
Tube11,13724.5,Trap,KBS0707_B1,5
Tube11,14534.5,Trap,KBS0707_B1,5
Tube12,3959.50,Cells,KBS0707_B1,2.5
Tube12,1268.00,Cells,KBS0707_B1,2.5
Tube12,7585.00,Sup,KBS0707_B1,2.5
Tube12,7486.50,Sup,KBS0707_B1,2.5
Tube12,26933.5,Trap,KBS0707_B1,2.5
Tube12,26852.5,Trap,KBS0707_B1,2.5
Tube13,6515.00,Cells,KBS0707_B1,2.5
Tube13,6380.50,Cells,KBS0707_B1,2.5
Tube13,7304.00,Sup,KBS0707_B1,2.5
Tube13,7181.00,Sup,KBS0707_B1,2.5
Tube13,32978.5,Trap,KBS0707_B1,2.5
Tube13,32908.5,Trap,KBS0707_B1,2.5
Tube14,12216.0,Cells,KBS0707_B1,1
Tube14,13884.5,Cells,KBS0707_B1,1
Tube14,2008.50,Sup,KBS0707_B1,1
Tube14,2036.00,Sup,KBS0707_B1,1
Tube14,77400.5,Trap,KBS0707_B1,1
Tube14,77895.5,Trap,KBS0707_B1,1
Tube15,13438.0,Cells,KBS0707_B1,1
Tube15,4647.50,Cells,KBS0707_B1,1
Tube15,1814.50,Sup,KBS0707_B1,1
Tube15,1761.00,Sup,KBS0707_B1,1
Tube15,76354.0,Trap,KBS0707_B1,1
Tube15,76751.0,Trap,KBS0707_B1,1
Tube16,5353.50,Cells,KBS0707_B1,0.5
Tube16,10000.0,Cells,KBS0707_B1,0.5
Tube16,1298.00,Sup,KBS0707_B1,0.5
Tube16,1334.00,Sup,KBS0707_B1,0.5
Tube16,82621.5,Trap,KBS0707_B1,0.5
Tube16,82427.5,Trap,KBS0707_B1,0.5
Tube17,7758.00,Cells,KBS0707_B1,0.5
Tube17,9065.50,Cells,KBS0707_B1,0.5
Tube17,1412.00,Sup,KBS0707_B1,0.5
Tube17,1396.00,Sup,KBS0707_B1,0.5
Tube17,84418.5,Trap,KBS0707_B1,0.5
Tube17,84072.5,Trap,KBS0707_B1,0.5
Tube18,11066.5,Cells,KBS0707_B1,0.25
Tube18,5500.00,Cells,KBS0707_B1,0.25
Tube18,1314.50,Sup,KBS0707_B1,0.25
Tube18,1290.00,Sup,KBS0707_B1,0.25
Tube18,90406.5,Trap,KBS0707_B1,0.25
Tube18,93454.0,Trap,KBS0707_B1,0.25
Tube19,6013.50,Cells,KBS0707_B1,0.25
Tube19,5669.00,Cells,KBS0707_B1,0.25
Tube19,1272.00,Sup,KBS0707_B1,0.25
Tube19,1297.00,Sup,KBS0707_B1,0.25
Tube19,88501.0,Trap,KBS0707_B1,0.25
Tube19,85395.5,Trap,KBS0707_B1,0.25
Voucher,736577,,,
Control,27.50,,,
