Tube,CPM,Sample,Organism,Conc
Tube06,66.50,Cells,Blank,10
Tube06,43.50,Cells,Blank,10
Tube06,10248.5,Sup,Blank,10
Tube06,10239.5,Sup,Blank,10
Tube06,2960.50,Trap,Blank,10
Tube06,3411.50,Trap,Blank,10
Tube07,32.00,Cells,KC,10
Tube07,33.00,Cells,KC,10
Tube07,9219.00,Sup,KC,10
Tube07,9312.50,Sup,KC,10
Tube07,412.50,Trap,KC,10
Tube07,429.00,Trap,KC,10
Tube08,915.00,Cells,KBS0707_A1,10
Tube08,1118.50,Cells,KBS0707_A1,10
Tube08,10443.0,Sup,KBS0707_A1,10
Tube08,10510.5,Sup,KBS0707_A1,10
Tube08,2845.00,Trap,KBS0707_A1,10
Tube08,2865.00,Trap,KBS0707_A1,10
Tube09,1322.00,Cells,KBS0707_A1,10
Tube09,1275.50,Cells,KBS0707_A1,10
Tube09,10375.0,Sup,KBS0707_A1,10
Tube09,10302.0,Sup,KBS0707_A1,10
Tube09,2960.50,Trap,KBS0707_A1,10
Tube09,2966.00,Trap,KBS0707_A1,10
Tube10,1890.50,Cells,KBS0707_A1,5
Tube10,1768.50,Cells,KBS0707_A1,5
Tube10,9941.50,Sup,KBS0707_A1,5
Tube10,10041.5,Sup,KBS0707_A1,5
Tube10,7100.50,Trap,KBS0707_A1,5
Tube10,6967.50,Trap,KBS0707_A1,5
Tube11,2196.50,Cells,KBS0707_A1,5
Tube11,2235.50,Cells,KBS0707_A1,5
Tube11,10036.5,Sup,KBS0707_A1,5
Tube11,10017.0,Sup,KBS0707_A1,5
Tube11,7245.00,Trap,KBS0707_A1,5
Tube11,7038.00,Trap,KBS0707_A1,5
Tube12,4736.50,Cells,KBS0707_A1,2.5
Tube12,4648.50,Cells,KBS0707_A1,2.5
Tube12,9175.50,Sup,KBS0707_A1,2.5
Tube12,9093.00,Sup,KBS0707_A1,2.5
Tube12,13567.0,Trap,KBS0707_A1,2.5
Tube12,13724.5,Trap,KBS0707_A1,2.5
Tube13,5431.50,Cells,KBS0707_A1,2.5
Tube13,3227.00,Cells,KBS0707_A1,2.5
Tube13,9310.50,Sup,KBS0707_A1,2.5
Tube13,9112.00,Sup,KBS0707_A1,2.5
Tube13,13741.5,Trap,KBS0707_A1,2.5
Tube13,13623.0,Trap,KBS0707_A1,2.5
Tube14,9085.50,Cells,KBS0707_A1,1
Tube14,9148.00,Cells,KBS0707_A1,1
Tube14,8066.50,Sup,KBS0707_A1,1
Tube14,8098.00,Sup,KBS0707_A1,1
Tube14,21517.0,Trap,KBS0707_A1,1
Tube14,21696.0,Trap,KBS0707_A1,1
Tube15,6620.00,Cells,KBS0707_A1,1
Tube15,9038.00,Cells,KBS0707_A1,1
Tube15,7789.50,Sup,KBS0707_A1,1
Tube15,7770.00,Sup,KBS0707_A1,1
Tube15,24999.5,Trap,KBS0707_A1,1
Tube15,25107.0,Trap,KBS0707_A1,1
Tube16,16053.5,Cells,KBS0707_A1,0.5
Tube16,11851.0,Cells,KBS0707_A1,0.5
Tube16,6366.50,Sup,KBS0707_A1,0.5
Tube16,6452.50,Sup,KBS0707_A1,0.5
Tube16,33548.0,Trap,KBS0707_A1,0.5
Tube16,33076.0,Trap,KBS0707_A1,0.5
Tube17,19083.0,Cells,KBS0707_A1,0.5
Tube17,18079.5,Cells,KBS0707_A1,0.5
Tube17,4320.00,Sup,KBS0707_A1,0.5
Tube17,4360.00,Sup,KBS0707_A1,0.5
Tube17,37428.0,Trap,KBS0707_A1,0.5
Tube17,37295.5,Trap,KBS0707_A1,0.5
Tube18,27800.0,Cells,KBS0707_A1,0.25
Tube18,18283.5,Cells,KBS0707_A1,0.25
Tube18,1520.50,Sup,KBS0707_A1,0.25
Tube18,1490.00,Sup,KBS0707_A1,0.25
Tube18,76067.5,Trap,KBS0707_A1,0.25
Tube18,75611.0,Trap,KBS0707_A1,0.25
Tube19,17989.0,Cells,KBS0707_A1,0.25
Tube19,19147.0,Cells,KBS0707_A1,0.25
Tube19,1803.50,Sup,KBS0707_A1,0.25
Tube19,1784.00,Sup,KBS0707_A1,0.25
Tube19,74599.5,Trap,KBS0707_A1,0.25
Tube19,74192.5,Trap,KBS0707_A1,0.25
Voucher,702959,,,
Control,23.00,,,
