Tube,CPM,Sample,Organism
Tube06,32.00,Cells,Blank
Tube06,30.50,Cells,Blank
Tube06,16483.0,Sup,Blank
Tube06,16874.5,Sup,Blank
Tube06,551.50,Trap,Blank
Tube06,642.50,Trap,Blank
Tube07,25.50,Cells,KC
Tube07,26.00,Cells,KC
Tube07,16672.0,Sup,KC
Tube07,17189.0,Sup,KC
Tube07,1200.00,Trap,KC
Tube07,1317.00,Trap,KC
Tube08,4440.00,Cells,KBS0707
Tube08,4457.50,Cells,KBS0707
Tube08,15202.0,Sup,KBS0707
Tube08,15647.0,Sup,KBS0707
Tube08,11626.5,Trap,KBS0707
Tube08,11492.0,Trap,KBS0707
Tube09,4362.50,Cells,KBS0707
Tube09,4637.50,Cells,KBS0707
Tube09,14948.0,Sup,KBS0707
Tube09,15203.5,Sup,KBS0707
Tube09,12059.5,Trap,KBS0707
Tube09,12042.5,Trap,KBS0707
Tube10,5304.00,Cells,KBS0707
Tube10,4945.50,Cells,KBS0707
Tube10,15029.5,Sup,KBS0707
Tube10,15361.5,Sup,KBS0707
Tube10,13611.5,Trap,KBS0707
Tube10,14005.0,Trap,KBS0707
Tube11,6025.00,Cells,KBS0707_A-1
Tube11,5655.50,Cells,KBS0707_A-1
Tube11,14777.5,Sup,KBS0707_A-1
Tube11,15055.0,Sup,KBS0707_A-1
Tube11,14256.5,Trap,KBS0707_A-1
Tube11,14780.0,Trap,KBS0707_A-1
Tube12,5362.00,Cells,KBS0707_A-1
Tube12,5640.50,Cells,KBS0707_A-1
Tube12,14775.5,Sup,KBS0707_A-1
Tube12,15236.5,Sup,KBS0707_A-1
Tube12,13848.5,Trap,KBS0707_A-1
Tube12,14726.5,Trap,KBS0707_A-1
Tube13,4483.50,Cells,KBS0707_A-1
Tube13,4706.50,Cells,KBS0707_A-1
Tube13,14950.0,Sup,KBS0707_A-1
Tube13,15459.5,Sup,KBS0707_A-1
Tube13,12886.5,Trap,KBS0707_A-1
Tube13,13067.5,Trap,KBS0707_A-1
Tube14,6787.50,Cells,KBS0707_B-1
Tube14,6674.00,Cells,KBS0707_B-1
Tube14,14703.5,Sup,KBS0707_B-1
Tube14,15232.5,Sup,KBS0707_B-1
Tube14,15640.0,Trap,KBS0707_B-1
Tube14,15868.0,Trap,KBS0707_B-1
Tube15,7059.50,Cells,KBS0707_B-1
Tube15,5188.50,Cells,KBS0707_B-1
Tube15,14654.0,Sup,KBS0707_B-1
Tube15,15039.5,Sup,KBS0707_B-1
Tube15,14522.5,Trap,KBS0707_B-1
Tube15,14653.5,Trap,KBS0707_B-1
Tube16,5312.50,Cells,KBS0707_B-1
Tube16,4965.50,Cells,KBS0707_B-1
Tube16,15061.5,Sup,KBS0707_B-1
Tube16,15461.5,Sup,KBS0707_B-1
Tube16,13263.0,Trap,KBS0707_B-1
Tube16,13367.0,Trap,KBS0707_B-1
Tube17,6003.00,Cells,KBS0707_C-1
Tube17,6458.50,Cells,KBS0707_C-1
Tube17,15239.0,Sup,KBS0707_C-1
Tube17,15164.5,Sup,KBS0707_C-1
Tube17,14668.0,Trap,KBS0707_C-1
Tube17,15134.5,Trap,KBS0707_C-1
Tube18,4395.00,Cells,KBS0707_C-1
Tube18,4772.50,Cells,KBS0707_C-1
Tube18,15296.5,Sup,KBS0707_C-1
Tube18,15416.5,Sup,KBS0707_C-1
Tube18,11095.5,Trap,KBS0707_C-1
Tube18,11381.5,Trap,KBS0707_C-1
Tube19,5410.50,Cells,KBS0707_C-1
Tube19,5637.00,Cells,KBS0707_C-1
Tube19,15355.0,Sup,KBS0707_C-1
Tube19,15598.0,Sup,KBS0707_C-1
Tube19,11656.0,Trap,KBS0707_C-1
Tube19,11895.0,Trap,KBS0707_C-1
Voucher,1035670,,
Control,26.00,,
