Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7022Arep1,0,1.27,193,0.997,<0.001
7022Arep2,0,1.27,158,0.991,<0.001
7022Arep3,0,1.27,187,0.99,<0.001
7022Brep1,0,1.27,191,1,<0.001
7022Brep2,0,1.27,178,0.994,<0.001
7022Brep3,0,1.27,183,1,<0.001
7022Crep1,0,1.27,246,0.999,<0.001
7022Crep2,0,1.27,200,0.993,<0.001
7022Crep3,0,1.27,224,0.997,<0.001
7022Drep1,0,1.22,299,1,<0.001
7022Drep2,0,1.22,298,1,<0.001
7022Drep3,-0.15,1.27,281,1,<0.001
7025Arep1,0,1.07,338,1,<0.001
7025Arep2,0,1.07,344,1,<0.001
7025Arep3,0,1.07,353,0.997,<0.001
7025Brep1,0,1.07,376,0.999,<0.001
7025Brep2,0,1.07,368,0.994,<0.001
7025Brep3,0,1.07,323,0.999,<0.001
7025Crep1,-0.15,1.22,293,0.999,<0.001
7025Crep2,-0.15,1.17,323,0.998,<0.001
7025Crep3,-0.15,1.17,314,1,<0.001
Blank,-0.15,1.17,-1.39,0.049,0.4471
Blank,-0.15,1.17,-10.2,0.36,0.0233
Blank,-0.15,1.17,-2.96,0.503,0.0045

