Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7241Brep1,0,1.69,188,0.992,<0.001
7241Brep2,0,1.69,177,0.991,<0.001
7241Brep3,0,1.69,175,0.991,<0.001
7241Crep1,0,1.69,31.5,0.992,<0.001
7241Crep2,0.7,1.69,35.8,0.995,<0.001
7241Crep3,0.5,1.69,31.9,0.996,<0.001
7241Drep1,0.45,1.69,31.4,0.991,<0.001
7241Drep2,0,1.69,30,0.994,<0.001
7241Drep3,0.35,1.69,31.1,0.998,<0.001
7242Arep1,0.05,1.69,42.5,0.998,<0.001
7242Arep2,0.05,1.69,37.2,0.998,<0.001
7242Arep3,0.3,1.69,33.9,0.984,<0.001
7242Brep1,0,1.69,38.6,0.994,<0.001
7242Brep2,0,1.69,39,0.998,<0.001
7242Brep3,0,1.69,42.1,0.998,<0.001
7242Crep1,0,1.69,34.2,0.992,<0.001
7242Crep2,0,1.69,34,0.996,<0.001
7242Crep3,0.55,1.69,22.2,0.94,<0.001
7242Drep1,0,1.69,33,0.99,<0.001
7242Drep2,0,1.69,26.4,0.991,<0.001
7242Drep3,0,1.69,31.4,0.993,<0.001

