Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7243Arep1,0.05,2.37,123,0.997,<0.001
7243Arep2,0.05,2.37,131,0.995,<0.001
7243Arep3,0.05,2.37,133,0.995,<0.001
7243Brep1,0.05,2.37,59.8,0.997,<0.001
7243Brep2,0.05,2.37,51.7,0.996,<0.001
7243Brep3,0.3,2.37,32,0.97,<0.001
7243Crep1,0,2.37,24.2,0.994,<0.001
7243Crep2,0,2.37,26.6,0.999,<0.001
7243Crep3,0.15,2.37,25.9,0.999,<0.001
7243Drep1,0,2.37,119,0.996,<0.001
7243Drep2,0,2.37,114,0.996,<0.001
7243Drep3,0,2.37,95.3,0.996,<0.001
724rep1,0,2.37,146,0.994,<0.001
724rep2,0,2.37,134,0.997,<0.001
724rep3,0,2.37,147,0.998,<0.001
7034Drep1,0,0.219,1210,0.997,0.0337
7034Drep2,0,0.219,1200,0.997,0.0323
7034Drep3,0,0.219,1200,0.995,0.0438
7241Arep1,0,0.219,1120,0.996,0.0408
7241Arep2,0,0.219,1080,0.998,0.0269
7241Arep3,0,0.219,1060,0.997,0.0357
