Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7103Drep1,0,1.35,279,1,<0.001
7103Drep2,0,1.35,280,1,<0.001
7103Drep3,0,1.35,302,0.998,<0.001
7231Arep1,0,1.35,282,0.998,<0.001
7231Arep2,0,1.35,273,0.998,<0.001
7231Arep3,0,1.35,280,0.999,<0.001
7231Brep1,0,1.35,283,0.997,<0.001
7231Brep2,0,1.35,287,1,<0.001
7231Brep3,0,1.35,291,0.999,<0.001
7231Crep1,0,1.35,297,0.998,<0.001
7231Crep2,0,1.35,269,0.997,<0.001
7231Crep3,0,1.35,282,0.999,<0.001
7231Drep1,0,1.35,285,1,<0.001
7231Drep2,0,1.35,279,0.999,<0.001
7231Drep3,0,1.35,279,1,<0.001
7232Arep1,0,1.35,265,0.999,<0.001
7232Arep2,0,1.35,262,0.999,<0.001
7232Arep3,0,1.35,248,0.999,<0.001
7232Brep1,0,1.35,225,1,<0.001
7232Brep2,0,1.35,207,0.999,<0.001
7232Brep3,0,1.35,198,0.999,<0.001
