Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7011Arep1,0,0.222,1140,0.985,0.0074
7011Arep2,0,0.172,1730,1,0.0027
7011Arep3,0,0.172,1770,1,9e-04
7011Brep1,0,0.172,1490,1,0.0108
7011Brep2,0,0.222,1100,0.952,0.0242
7011Brep3,0,0.222,1120,0.944,0.0285
7011Crep1,0,0.222,1110,0.994,0.0028
7011Crep2,0,0.222,1030,0.999,5e-04
7011Crep3,0,0.222,1070,0.998,0.001
7011Drep1,0,0.222,985,0.948,0.0264
7011Drep2,0,0.222,975,0.935,0.0333
7011Drep3,0,0.222,975,0.911,0.0456
7011bArep1,0,1.07,329,0.999,<0.001
7011bArep2,0,1.07,350,0.997,<0.001
7011bArep3,0,1.07,338,0.998,<0.001
7011bBrep1,0,1.07,344,0.999,<0.001
7011bBrep2,0,1.07,329,0.995,<0.001
7011bBrep3,0,1.07,326,0.999,<0.001
7011bCrep1,0,1.02,349,0.999,<0.001
7011bCrep2,0,1.07,332,0.998,<0.001
7011bCrep3,0,1.07,359,0.994,<0.001

