ID,plate,NumColonies
701,-5,363
7011A,-5,78
7011B,-5,164
7011C,-5,141
7011D,-5,251
7011bA,-5,248
7011bB,-5,254
7011bC,-5,215
7011bD,-5,229
7013A,-5,313
7013B,-5,388
7013C,-5,334
7013D,-5,393
702,-5,121
7022A,-5,19
7022B,-4,86
7022C,-4,170
7022D,-5,132
7025A,-5,103
7025B,-5,63
7025C,-4,64
7025D,-5,49
7026A,-5,16
7026B,-5,166
7026C,-5,18
7026D,-5,60
703,-5,21
7031A,-5,35
7031B,-4,77
7031C,-5,28
7031D,-5,47
7032A,-5,145
7032B,-5,20
7032C,-5,50
7032D,-4,146
7034A,-5,27
7034B,-5,65
7034C,-5,32
7034D,-5,508
710,-5,15
7101A,-4,74
7101B,-4,88
7101C,-4,89
7101D,-4,61
7102A,-5,24
7102B,-5,16
7102C,-5,70
7102D,-4,63
7103A,-4,112
7103B,-4,252
7103C,-4,145
7103D,-5,18
723,-5,24
7231A,-5,19
7231B,-5,21
7231C,-5,24
7231D,-5,13
7232A,-5,25
7232B,-5,24
7232C,-5,16
7232D,-5,15
7233A,-4,132
7233B,-4,23
7233C,-4,30
7233D,-4,15
724,-4,41
7241A,-5,220
7241B,-3,35
7241C,-3,81
7241D,-3,68
7242A,-3,59
7242B,-3,76
7242C,-3,104
7242D,-3,124
7243A,-3,204
7243B,-3,91
7243C,-3,28
7243D,-3,126
