Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7031Crep2,0,1.23,297,1,<0.001
7031Crep3,0,1.38,269,0.999,<0.001
7031Drep1,0,1.83,114,0.999,<0.001
7031Drep2,0,1.83,115,0.999,<0.001
7031Drep3,0,1.83,111,1,<0.001
702rep1,0,1.83,188,0.996,<0.001
702rep2,0,1.83,166,0.993,<0.001
702rep3,0,1.83,185,0.996,<0.001
703rep1,0,1.83,124,0.999,<0.001
703rep2,0,1.83,121,0.999,<0.001
703rep3,0,1.83,121,0.999,<0.001
710rep1,0,1.63,242,0.998,<0.001
710rep2,0,1.63,234,0.998,<0.001
710rep3,0,1.63,240,0.998,<0.001
723rep1,0,1.63,246,0.995,<0.001
723rep2,0,1.63,247,0.996,<0.001
723rep3,0,1.63,229,0.989,<0.001
