Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7102Arep1,0,1.07,325,1,<0.001
7102Arep2,0,1.07,332,1,<0.001
7102Arep3,0,1.07,314,1,<0.001
7102Brep1,0,1.07,321,1,<0.001
7102Brep2,0,1.07,318,0.999,<0.001
7102Brep3,0,1.22,294,0.996,<0.001
7102Crep1,0,1.32,270,0.999,<0.001
7102Crep2,0,1.32,275,1,<0.001
7102Crep3,0,1.32,280,0.999,<0.001
7102Drep1,0,1.32,166,0.986,<0.001
7102Drep2,0,1.32,187,0.999,<0.001
7102Drep3,0,1.32,190,0.997,<0.001
7103Arep1,0,1.32,234,0.998,<0.001
7103Arep2,0,1.32,256,0.999,<0.001
7103Arep3,0,1.32,265,0.998,<0.001
7103Brep1,0,1.32,275,0.999,<0.001
7103Brep2,0,1.32,239,0.999,<0.001
7103Brep3,0,1.32,248,0.997,<0.001
7103Crep1,0,1.32,261,0.999,<0.001
7103Crep2,0,1.32,278,0.998,<0.001
7103Crep3,0,1.32,283,0.998,<0.001
