Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7032Arep1,0,1.91,199,0.998,<0.001
7032Arep2,0,2.06,187,0.997,<0.001
7032Arep3,0,2.01,192,0.992,<0.001
7032Brep1,0,1.91,219,0.998,<0.001
7032Brep2,0,1.91,201,0.994,<0.001
7032Brep3,0,1.91,210,0.998,<0.001
7032Crep1,0,2.56,150,0.988,<0.001
7032Crep2,0,2.56,157,0.993,<0.001
7032Crep3,0,2.56,163,0.991,<0.001
7032Drep1,0,1.76,218,1,<0.001
7032Drep2,0,1.76,220,1,<0.001
7032Drep3,0,1.86,195,0.998,<0.001
7034Arep1,0,2.76,142,0.99,<0.001
7034Arep2,0,2.41,156,0.994,<0.001
7034Arep3,0,2.41,165,0.993,<0.001
Blank,0,2.41,-0.375,0.292,0.0044
Blank,0,2.41,-2.89,0.475,1e-04
Blank,0,2.41,0.109,0.022,0.4679
