Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7011bDrep1,0,1.02,261,0.998,<0.001
7011bDrep2,0,1.02,253,0.998,<0.001
7011bDrep3,0,1.02,238,0.998,<0.001
7013Arep1,0,0.972,355,1,<0.001
7013Arep2,0,0.972,356,0.998,<0.001
7013Arep3,0,0.972,361,0.999,<0.001
7013Brep1,0,0.922,387,1,<0.001
7013Brep2,0,0.922,395,0.998,<0.001
7013Brep3,0,0.922,388,0.999,<0.001
7013Crep1,0,0.922,399,1,<0.001
7013Crep2,0,0.922,390,0.999,<0.001
7013Crep3,0,0.922,394,1,<0.001
7013Drep1,0,0.922,381,0.999,<0.001
7013Drep2,0,0.922,365,0.995,<0.001
7013Drep3,0,0.922,381,0.999,<0.001
701rep1,0,1.02,322,1,<0.001
701rep2,0,1.02,317,1,<0.001
701rep3,0,1.02,303,0.999,<0.001
