Sample,Start,End,Rate (uM O2 Hr-1),R2,P-value
7034Brep1,0,1.35,155,0.998,<0.001
7034Brep2,0,1.4,126,0.994,<0.001
7034Brep3,0,1.4,163,0.997,<0.001
7034Crep1,0,1.4,97.8,0.999,<0.001
7034Crep2,0,1.4,95.9,0.999,<0.001
7034Crep3,0,1.4,93,0.993,<0.001
7101Arep1,0,1.35,261,1,<0.001
7101Arep2,0,1.35,268,0.999,<0.001
7101Arep3,0,1.35,263,0.999,<0.001
7101Brep1,0,1.35,276,0.997,<0.001
7101Brep2,0,1.4,246,0.998,<0.001
7101Brep3,0,1.4,251,0.999,<0.001
7101Crep1,0,1.35,259,0.999,<0.001
7101Crep2,0,1.4,233,0.996,<0.001
7101Crep3,0,1.4,253,0.998,<0.001
7101Drep1,0,1.35,259,0.998,<0.001
7101Drep2,0,1.35,253,0.998,<0.001
7101Drep3,0,1.35,254,0.999,<0.001
